"ALKBH5" "FTO" "IGF2BP1" "IGF2BP2" "IGF2BP3" "METTL14" "METTL3" "KIAA1429" "WTAP" "YTHDC1" "YTHDC2" "YTHDF1" "YTHDF2" "YTHDF3" "RBM15" "CancerType"
"Sample_1642" 0.901967 0.284572 0.0906 0.00035 0.05036 -0.23541 -0.108561 -0.10736 0.151003 0.17276 0.43118 0.69622 -0.041087 0.771461 0.86718 "UCEC"
"Sample_1643" -0.007028 0.052856 -0.29443 -0.2785 0.134473 0.11775 0.002716 0.3761 0.838498 0.49087 0.32649 0.06548 1.0428 -0.038926 0.66973 "UCEC"
"Sample_1644" 1.102279 0.190699 -0.12238 0.46946 0.278525 0.3309 -0.476323 -2.44444 0.394719 -0.70698 -0.68354 -0.76138 -0.249718 -2.065822 -1.8212 "UCEC"
"Sample_1645" 0.937617 0.714617 1.13146 -0.37203 -0.04842 -0.26937 0.047564 -0.16397 0.816862 -0.13665 0.11539 0.03854 0.557195 0.434045 -0.19165 "UCEC"
"Sample_1646" 0.321978 0.117104 -0.4819 0.00902 0.021235 -0.09535 -0.007707 -0.12263 1.055272 -0.78748 -0.32034 0.12144 0.001644 0.572562 -0.22299 "UCEC"
"Sample_1647" 0.587925 0.458921 -0.1809 -0.05723 0.10313 0.04529 0.151743 -0.02775 0.817436 -0.26389 -0.69431 0.12939 -0.14894 0.328743 -0.58447 "OV"
"Sample_1648" 0.246184 -0.380237 -0.33409 0.07805 0.067526 0.11871 0.214694 0.16893 0.315099 0.29973 -1.00439 0.03018 0.655369 0.615539 0.061137 "OV"
"Sample_1649" 0.337956 -0.079957 -0.32205 0.18521 0.09737 -0.02496 -0.33875 -0.08183 -0.034691 -0.05913 -0.44722 -0.2492 0.05121 -0.041117 0.10634 "OV"
"Sample_1650" 0.455449 0.530737 -0.22776 0.14771 0.068144 0.03866 -0.13189 0.00011 0.416861 0.25625 -0.02639 0.02337 0.602823 0.137332 0.30744 "OV"
"Sample_1651" 0.11719 0.194656 0.29228 0.09164 0.017663 0.03885 0.132895 0.05376 0.761985 -0.47105 -0.50985 0.028 0.103777 -0.285009 -0.33364 "OV"
"Sample_1652" 0.437204 0.049819 -0.38564 -0.20809 0.001162 -0.09313 0.08923 -0.16084 0.063916 -0.11951 0.03462 0.38135 -0.073221 0.424571 0.57673 "OV"
"Sample_1653" -0.064346 -0.171314 0.18169 -0.20164 -0.009334 -0.04086 -0.014653 -0.19511 -0.165631 -0.31781 0.36056 -0.05536 0.308959 0.361268 0.44975 "OV"
"Sample_1654" 0.505821 -0.022334 0.13245 -0.10396 -0.084659 -0.1546 -0.457708 0.21903 0.398524 0.11371 -0.58353 -0.06071 -0.393186 0.073556 0.43258 "OV"
"Sample_1655" -0.255704 -0.226717 -0.15984 -0.12689 0.110185 0.07744 -0.128027 0.26347 0.268492 0.32969 -0.55574 0.1992 0.278846 0.182346 0.18662 "OV"
"Sample_1656" 0.021637 0.330987 0.0803 -0.23834 0.048082 0.24124 0.787068 0.36451 0.243128 0.07085 0.05127 0.25336 0.204763 0.24066 0.43872 "OV"
"Sample_1657" -0.244928 -0.089845 0.237 0.1375 0.145418 0.01879 0.00959 0.01791 -0.092905 -0.01283 -0.58774 0.05691 0.035466 0.073227 0.07236 "OV"
"Sample_1658" 0.393258 -0.299136 -0.3803 0.08819 0.027517 -0.10905 -0.026196 0.36931 -0.071948 0.27196 -0.41562 -0.09868 0.512058 -0.354834 0.13896 "OV"
"Sample_1659" 0.396799 0.081825 0.09957 -0.19842 0.054921 0.03398 0.003828 -0.38549 0.929628 -0.03146 0.3231 -0.17767 0.718063 0.168099 -0.049281 "UCEC"
"Sample_1660" 0.253343 0.437488 0.19342 0.13083 0.112541 0.03811 -0.869807 -1.55175 1.021285 -0.6733 -0.57575 -0.21059 0.556831 -1.904828 -0.49405 "UCEC"
"Sample_1661" 0.703199 0.462541 -0.33278 0.5877 0.040596 0.07132 0.015264 -0.03806 0.952478 0.03163 0.2028 -0.02764 0.541587 0.000152 0.16714 "UCEC"
"Sample_1662" 0.791739 -0.027867 -0.47542 -0.16854 0.049251 0.09764 -0.126458 0.23721 0.431919 -0.05494 -0.70575 0.95974 1.315345 -0.029154 0.20995 "UCEC"
"Sample_1663" 0.47322 0.65362 -0.04058 0.29431 0.035879 -0.05034 -0.290506 -0.27921 0.554427 0.10543 -0.35412 0.08876 0.193354 -0.032024 -0.10262 "UCEC"
"Sample_1664" 0.445058 0.299358 -0.37602 1.11674 0.146994 0.08607 0.064342 0.9283 -0.178098 0.36808 -0.54286 0.4102 0.773777 0.865366 0.72515 "UCEC"
"Sample_1665" 0.514649 1.14502 -0.81239 0.45215 0.413676 -0.01549 0.49666 0.63261 0.881424 0.48169 0.19197 0.60508 1.108933 0.551259 0.58599 "UCEC"
"Sample_1666" 1.316648 0.922568 -0.41058 -0.02054 0.326704 -0.12806 0.248904 0.68337 1.025797 0.63273 0.10997 0.89714 1.343082 0.972726 0.27732 "UCEC"
"Sample_1667" 0.490857 -0.248662 -0.32045 0.33972 0.050522 -0.11866 -0.326149 0.37958 0.756 0.29176 0.37118 0.45825 0.893352 0.679984 0.01621 "UCEC"
"Sample_1668" 0.567915 0.545932 -0.41206 -0.03244 0.131572 0.02386 0.059 -0.02281 1.018187 -0.20485 -0.47706 0.07285 0.567386 0.074821 -0.23314 "UCEC"
"Sample_1669" 0.97234 -0.066837 -0.27015 -0.05343 0.032606 -0.23808 -0.135179 0.02202 0.451613 0.3084 2.01388 0.47332 0.080489 0.729688 0.30998 "UCEC"
"Sample_1670" -0.028784 0.065689 -0.21912 0.74651 0.097472 0.09232 -0.503066 -0.16846 -1.327183 -0.16388 0.42218 0.36657 1.115018 1.053917 0.54839 "UCEC"
"Sample_1671" 0.006431 -0.229642 0.00333 0.01206 0.236166 0.459 0.326384 0.03764 0.317518 0.23113 1.27538 -0.2546 0.920172 0.17246 0.25867 "OV"
"Sample_1672" 0.394396 0.506491 0.67619 0 0.191625 0.21075 0.370595 -0.0772 0.708332 0.03042 0.35835 0.24078 0.532814 0.909444 -0.01362 "OV"
"Sample_1673" 0.781001 0.366521 0.09206 0.6459 0.172186 0.24107 0.12223 0.03204 0.53064 0.39955 -0.00295 0.49791 0.627913 0.741754 0.42177 "OV"
"Sample_1674" 0.486776 -0.625297 -0.03171 -0.23378 0.092251 0.15863 0.036406 -0.3996 -0.32098 -0.0504 -0.11557 0.05815 0.103735 -0.102332 0.19415 "OV"
"Sample_1675" 0.871644 -0.271905 0.05831 -0.12119 0.104006 0.15529 0.098022 0.34301 0.708752 0.46266 0.48994 0.23524 0.369153 0.182778 0.2509 "OV"
"Sample_1676" -0.808206 -1.178972 1.01866 -0.03453 0.049251 0.00682 -0.318576 -0.54056 -0.515937 -0.28234 -0.30104 -0.61872 -0.544957 -0.707639 -0.73496 "OV"
"Sample_1677" -0.349464 -0.185712 0.82424 -0.0243 0.062659 0.05405 0.019548 -0.15626 -0.884226 -0.23651 -0.68505 0.06274 -0.123433 -0.122555 -0.53495 "OV"
"Sample_1678" 0.790736 0.598135 -0.61029 0.17508 -0.021705 0.08092 0.312725 0.1321 0.347815 0.10117 0.08601 -0.11706 0.171983 0.03888 -0.034139 "OV"
"Sample_1679" 0.473741 0.185412 -0.22211 -0.07892 0.048831 0.0578 -0.591346 0.07853 -0.253205 0.00033 0.42616 0.21785 -0.1611 0.772675 -0.049948 "OV"
"Sample_1680" 0.611688 0.327694 -0.02887 0.32673 0.098048 0.04617 0.079103 -0.06756 0.58024 0.17308 0.11007 0.06242 0.406611 0.162452 0.22786 "OV"
"Sample_1681" 0.397995 -0.222054 -0.11201 -0.02446 -0.057567 -0.16979 -0.151374 0.24897 0.253147 0.01006 -0.05994 0.13781 0.044145 0.013946 0.14606 "OV"
"Sample_1682" 1.073451 0.205813 -0.23609 0.08661 0.079065 0.09173 0.335005 0.68751 0.502963 0.39585 -0.37459 0.43265 0.66955 0.60336 1.0309 "OV"
"Sample_1683" 0.784464 0.768854 1.15473 0.29374 0.110353 0.01262 -0.318146 -1.69917 1.530209 -0.9541 0.57972 -0.32692 1.096638 -0.366313 -1.035 "UCEC"
"Sample_1684" 0.585755 0.492574 0.7331 0.37359 0.184989 0.37635 -0.262328 -1.51046 0.737415 -0.60517 0.32514 -0.87781 -0.73847 -2.5825 -1.048 "UCEC"
"Sample_1685" 0.574418 0.006492 -0.40162 0.00519 -0.068643 -0.04362 0.155041 0.02387 0.439022 0.28399 0.67629 0.58687 0.314075 0.525368 0.61908 "UCEC"
"Sample_1686" 0.318988 0.001123 -0.02386 0.04063 0.102195 0.20288 -0.475193 -1.34736 0.67725 -0.60519 -0.3214 -0.48783 0.159084 -0.68973 -0.5083 "UCEC"
"Sample_1687" 0.69223 1.086446 -0.32577 -0.56064 -0.027801 -0.07038 0.395699 0.15339 1.126976 0.36464 0.50987 0.40609 0.912524 0.404132 0.78215 "UCEC"
"Sample_1688" 0.457668 0.437713 -0.29156 0.19704 0.101746 0.09262 -0.316577 -0.58705 0.252115 0.22608 0.41391 0.38353 1.146017 -0.085102 0.83319 "UCEC"
"Sample_1689" 0.381825 0.014826 -0.27532 -0.04094 0.112595 0.05424 -0.028804 -0.36042 1.013091 -0.05897 -0.28754 -0.33934 0.665601 -0.090739 -0.073264 "UCEC"
"Sample_1690" 0.571929 0.84885 0.00233 0.7067 0.020336 -0.00677 -0.036826 -0.29738 0.687471 -0.01405 -0.66537 -0.03945 0.315346 0.203196 -0.04314 "UCEC"
"Sample_1691" 1.176983 -0.215561 -0.11517 -0.02653 -0.026392 -0.19672 0.117856 0.02429 1.240019 0.36066 0.44779 0.66323 0.342323 0.625167 0.9117 "UCEC"
"Sample_1692" 0.801541 0.47471 -0.2142 -0.10626 0.083488 -0.03454 0.14451 -0.197 1.057662 -0.03644 -0.34691 -0.00323 0.742487 0.18213 0.11469 "UCEC"
"Sample_1693" 0.609749 0.624016 0.23917 -0.42341 -0.064819 -0.25705 -0.036001 0.08984 1.134261 0.10109 1.44969 0.39908 1.016543 0.334585 0.33396 "UCEC"
"Sample_1694" 0.751343 0.126052 -0.05246 -0.30996 0.05066 -0.1534 -0.612174 -0.69037 1.521719 0.19551 -0.47951 0.27566 0.205513 -1.643994 0.68098 "UCEC"
"Sample_1695" 0.256343 -0.03256 0.64644 0.3227 0.049371 -0.06011 -0.136111 0.2368 0.208605 0.12991 -0.40857 -0.08957 -0.252365 0.069925 0.41962 "OV"
"Sample_1696" -0.166142 -0.694383 0.27098 0.25575 0.075828 0.13553 0.266649 -0.4138 0.301667 0.28174 -0.44715 -0.08392 -0.114139 0.939717 0.19836 "OV"
"Sample_1697" 0.815685 0.464126 -0.08165 0.71613 0.087175 -0.02211 -0.027263 -0.33263 -0.39536 0.5201 0 0.08354 0.346313 0.350673 -0.40571 "OV"
"Sample_1698" 0.255137 -0.842442 -0.14877 -0.20808 0.09966 0.10776 -0.05804 -0.12327 -0.107083 0.12428 0.40002 0.25583 0.449175 0.015324 0.26398 "OV"
"Sample_1699" 0.74923 -0.082401 -0.20582 -0.22237 0.077189 0.18269 0.136865 0.18861 0.388313 0.17197 0.7698 0.44226 0.118062 0.785173 -0.0093367 "OV"
"Sample_1700" 0.661076 -0.211481 -0.30506 -0.11594 -0.064256 -0.11922 -0.219757 -0.00456 0.656466 0.17182 0.21194 0.55325 -0.031438 0.263434 0.38652 "OV"
"Sample_1701" 0.314029 0.218656 0.19155 0.20521 -0.016634 -0.02822 -0.479146 -0.03766 -0.347386 -0.06904 0.10059 -0.48693 -0.779356 -0.201926 -0.22368 "OV"
"Sample_1702" -0.330756 -0.7178 0.53936 -0.22344 0.047651 0.00145 -0.048961 -0.32861 -0.04666 -0.03324 -0.64226 -0.50763 -0.343651 0.076632 0.27605 "OV"
"Sample_1703" 0.137625 0.120949 -0.42131 -0.21738 -0.065479 0.0222 0.288562 0.35851 0.638473 0.10395 0.51778 0.30952 0.718928 -0.153096 0.9087 "OV"
"Sample_1704" 0.107774 0.146943 0.42764 -0.03186 -0.044326 -0.1751 -0.18501 -0.15998 0.155754 -0.26712 0.61374 0.2086 0.002248 0.632965 -0.10132 "OV"
"Sample_1705" 0.583343 -0.262292 -0.48903 -0.15343 0.017411 0.34166 0.327352 0.64379 0.910383 0.44288 0.15999 0.2043 0.283837 0.616671 0.71302 "OV"
"Sample_1706" 0.322885 0.193307 0.09238 0.27246 0.118625 0.07784 -0.392489 0.1607 0.426144 0.19553 0.23009 0.44095 0.585724 0.293913 0.43552 "OV"
"Sample_1707" 0.421179 0.295391 1.01712 0.55519 0.298514 0.42597 -0.616889 -2.18111 -2.049125 -0.69444 -0.24478 -1.33157 -2.270389 -3.118579 -3.0728 "UCEC"
"Sample_1708" 1.07128 0.639846 0.18574 -0.31329 -0.017258 0.03025 0.174418 0.17535 0.891377 0.25546 0.05775 -0.34619 0.136265 0.007383 0.35597 "UCEC"
"Sample_1709" 0.446727 0.079821 -0.23826 -0.26145 0.038348 0.03252 0.097458 0.70871 0.783257 0.56293 0.5244 0.50781 0.743643 0.316039 0.97283 "UCEC"
"Sample_1710" 0.558065 0.414173 1.6638 -0.01709 0.110785 -0.1054 0.44673 0.97217 1.442558 0.66671 0.05996 0.82199 1.082426 1.013543 1.2982 "UCEC"
"Sample_1711" 0.17201 -0.286466 -0.4302 -0.2294 0.058164 -0.06786 -0.156554 0.28666 0.526721 0.16867 0.79181 0.4678 0.252975 0.30137 0.60248 "UCEC"
"Sample_1712" 0.02455 0.303183 -0.09994 -0.09228 0.157034 0.1299 0.015147 0.13177 0.320902 0.31972 0.1232 0.17712 0.2849 0.300342 0.63886 "UCEC"
"Sample_1713" 0.88134 0.009059 0.97856 -0.48961 0.030023 -0.02597 0.054967 0.39758 0.795189 0.32149 0.16354 0.61541 0.675604 0.99763 0.93187 "UCEC"
"Sample_1714" 0.501489 0.97744 -0.60244 0.39734 -0.074667 -0.21384 0.026906 0.19352 1.134577 0.35072 1.00238 0.47038 0.612836 0.904887 0.42617 "UCEC"
"Sample_1715" 1.082192 0.653405 -0.30906 0.06673 0.169771 -0.07259 -0.131119 0.37843 1.076239 0.35749 -0.4105 0.76169 0.92509 0.545633 0.30426 "UCEC"
"Sample_1716" 0.07034 0.27905 -0.47884 0.19594 0.004998 -0.19559 0.156027 0.11628 0.915928 0.11607 2.0485 0.08473 0.578076 0.404369 0.5102 "UCEC"
"Sample_1717" 0.619484 -0.106697 -0.31174 0.08593 0.020726 -0.03639 0.003962 -0.54523 0.808889 0.28691 -0.45847 -0.12883 0.65714 -0.165872 0.60351 "UCEC"
"Sample_1718" 2.342335 -0.213239 -0.25714 -0.38717 0.10005 -0.1207 0.023267 -0.04682 0.845094 0.32265 -0.46812 0.1587 1.082884 0.216435 0.8246 "UCEC"
"Sample_1719" 0.049722 0.15177 0.27979 -0.10733 0.068096 -0.04837 -0.28416 -0.00508 -0.075438 0.03483 0.07686 -0.18321 -0.282425 0.043293 -0.25348 "OV"
"Sample_1720" 0.380108 0.150287 -0.02128 -0.15913 -0.038686 -0.0877 0.061725 -0.20243 0.860343 0.26737 -0.31777 0.26474 0.321015 0.507953 0.59666 "OV"
"Sample_1721" -0.191082 -0.320988 0.2698 0.10578 0.021469 0.13698 0.178424 0.40315 0.899933 0.3788 0.71648 0.46533 0.118968 -0.044615 0.72068 "OV"
"Sample_1722" 0.067793 0.124733 1.0591 0.7721 0.342564 0.23738 -0.252918 -0.9781 -0.408917 -0.28226 -0.29177 -0.30039 -0.830027 -0.30046 -0.61064 "OV"
"Sample_1723" 0.392206 0.043233 -0.28919 -0.11526 0.100955 0.02962 0.334584 0.62343 0.7386 0.15153 0.00288 0.58918 0.907283 0.443159 0.57584 "OV"
"Sample_1724" 0.623816 0.37282 -0.33814 0.39505 -0.040568 0.08428 0.140316 0.43583 0.365645 0.26419 -0.08502 0.04565 0.216048 0.221558 0.33012 "OV"
"Sample_1725" 0.483032 -0.047991 0.0368 0.06746 0.107392 0.19208 0.157837 -0.02547 -0.426709 0.21378 -0.19319 0.0758 -0.23957 0.33116 0.42066 "OV"
"Sample_1726" 1.770489 0.533733 0.02161 0.01466 0.167925 0.47319 0.623522 0.89447 1.053064 0.7343 -0.18121 0.41115 1.141286 0.33333 1.3732 "OV"
"Sample_1727" 1.506105 0.538427 0.19033 0.29797 0.060436 0.22986 0.598571 0.36248 0.601531 0.59528 -0.22758 0.9037 0.6487 0.590132 0.98713 "OV"
"Sample_1728" 0.311597 0.304093 0.101 0.61296 0.050498 -0.0069 -0.124191 0.02197 0.04035 -0.1712 0.20664 0.18847 -0.239174 0.400532 -0.31912 "OV"
"Sample_1729" 0.423996 0.131216 -0.02608 -0.04263 -0.00678 -0.06758 0.043074 0.10106 0.162581 0.04025 0.42719 0.25233 0.072039 0.347803 -0.10951 "OV"
"Sample_1730" 0.032915 0.37597 0.10006 0.09575 0.023303 -0.07615 -0.077085 0.05189 -0.202363 0.11386 -0.70424 -0.03352 -0.718975 0.351301 -0.084662 "OV"
"Sample_1731" 0.125256 -0.347933 -0.27453 0.17778 0.190929 0.33608 0.347714 -0.28559 0.886042 0.04938 -0.78515 0.29223 -0.088402 -0.122699 0.25593 "UCEC"
"Sample_1732" 0.45652 0.318593 0.27167 -0.12783 0.22027 -0.01485 0.138953 0.49009 0.916626 0.47175 0.4327 0.15983 1.012021 -0.229658 1.3213 "UCEC"
"Sample_1733" 0.980521 0.400634 -0.43916 0.00073 -0.014608 -0.00353 0.319796 0.10413 0.970088 -0.05635 0.59358 0.04104 -0.02329 0.266047 0.75643 "UCEC"
"Sample_1734" 0.808256 0.563756 0.471 0.13908 0.077842 0.04978 0.237504 0.61433 1.06381 0.25957 0.24714 0.05274 -0.147471 0.045124 0.70756 "UCEC"
"Sample_1735" 0.478044 -0.253171 -0.06117 0.12419 0.120765 0.02805 -0.450036 -2.49329 0.624027 -1.11732 0.29301 -0.46828 0.195344 -2.429407 -1.3344 "UCEC"
"Sample_1736" 0.54532 0.134324 -0.33502 -0.2048 0.073826 0.04513 0.123538 0.27783 0.635156 0.32743 0.83673 0.07306 -0.143439 -0.028259 0.12075 "UCEC"
"Sample_1737" 1.124421 1.086467 -0.49422 -0.40354 -0.013907 -0.10318 0.157774 0.36892 1.500667 0.3194 1.15196 0.50686 0.625131 0.425178 0.78701 "UCEC"
"Sample_1738" 0.064532 0.009672 0.68427 -0.1908 -0.019379 -0.11554 -0.260043 -0.57177 0.736134 -0.01192 0.3623 0.01194 0.227405 -0.083343 -0.19735 "UCEC"
"Sample_1739" 0.391135 0.315024 -0.72545 0.3356 0.223986 -0.03643 0.379297 0.23441 1.302344 0.21531 -0.41863 0.74368 0.909711 0.487175 0.35132 "UCEC"
"Sample_1740" 0.472603 0.090149 -0.4861 0.2401 0.217057 0.16489 -0.64227 -2.87337 -0.476548 -1.05619 0.41129 -0.6768 -0.197016 -2.194443 -1.9264 "UCEC"
"Sample_1741" 0.907554 1.197764 -0.19274 -0.6185 -0.058694 -0.20358 0.203966 0.20498 0.946866 0.14454 0.74953 -0.01251 0.452541 0.061644 0.76872 "UCEC"
"Sample_1742" 0.738723 -0.046488 -0.02804 -0.17504 -0.012121 -0.06524 -0.096192 0.02609 0.688752 -0.20396 0.12225 0.06192 0.431869 0.330306 0.33514 "UCEC"
"Sample_1743" 0.160452 -0.237587 -0.0552 0.06824 0.008528 -0.03937 0.064225 0.12792 -0.065954 0.08495 -0.32281 -0.03124 0.02912 0.481784 0.43608 "OV"
"Sample_1744" -0.417414 -0.645984 0.18873 -0.16212 -0.011366 -0.05377 -0.249422 -0.73924 -0.448039 -0.04756 -0.846 0.07617 -0.337993 -0.745822 -1.0158 "OV"
"Sample_1745" -0.122466 -0.052521 0.25579 -0.1148 -0.036852 -0.11411 -0.378364 -0.47373 -0.396058 -0.29892 0.04078 -0.17536 -0.642912 -0.040541 -0.20111 "OV"
"Sample_1746" -0.637282 0.688163 0.35893 -0.35841 0.007569 -0.18004 -0.194456 -0.8937 -0.948024 -0.25594 0.29846 -0.397 -0.473823 -0.019413 -0.57327 "OV"
"Sample_1747" 0.349466 0.168959 0.3343 0.47035 0.06236 -0.01227 -0.054992 0.50452 0.606665 0.27301 0.16388 0.08768 0.477204 0.04244 0.97163 "OV"
"Sample_1748" 0.626855 0.573951 -0.2166 -0.51927 0.023507 -0.02194 -0.418901 0.01963 -0.07407 0.33124 0.37402 0.2882 0.402798 0.202157 1.0576 "OV"
"Sample_1749" 1.269334 -0.588771 0.0828 -0.25866 0.127915 -0.15797 0.060703 -0.15104 0.022194 -0.45049 0.47001 0.70954 -0.791183 0.412125 -0.025013 "OV"
"Sample_1750" 0.074903 0.095906 0.21281 -0.01196 -0.038734 -0.10544 -0.299011 -0.0857 -0.081403 -0.06018 0.22909 -0.5102 -0.715109 -0.021265 -0.24091 "OV"
"Sample_1751" -1.884999 -0.043635 0.24208 -0.52298 -0.047964 -0.24838 -0.93473 -2.11837 -1.739059 -1.07486 -0.70166 -0.9579 -0.658843 -0.620008 -0.40688 "OV"
"Sample_1752" 0.075916 0.086846 -0.06254 -0.00882 0.145465 0.01764 -0.180735 0.21119 0.279123 -0.12217 -0.27368 -0.36458 -0.489765 0.270717 -1.956 "OV"
"Sample_1753" 0.238687 -0.084262 0.27841 0.05016 0.151028 0.24272 0.146105 0.37132 0.567974 0.36284 -0.15325 -0.06188 -0.263879 0.447099 0.556 "OV"
"Sample_1754" -0.060728 -0.40121 0.74361 0.79917 0.297346 0.22011 -0.20893 -0.84865 0.939198 -0.14492 -0.34183 -0.06415 0.370997 -0.998499 0.001844 "UCEC"
"Sample_1755" 1.204837 0.428407 -0.3244 0.36427 0.068563 0.16452 0.570124 0.73173 1.673196 0.6731 0.29622 0.83663 0.951233 0.464596 0.68989 "UCEC"
"Sample_1756" 0.318293 -0.21687 -0.07818 -0.0259 0.142199 0.23895 -0.642476 -0.49075 0.095542 -0.01921 -0.55235 -0.18516 -1.065478 -0.312598 -0.73408 "UCEC"
"Sample_1757" -0.285883 -0.652784 0.55316 0.25738 0.143284 0.04826 -0.296528 -0.0233 0.137303 0.13758 -0.32254 0.14911 -0.008067 -0.186671 0.27859 "UCEC"
"Sample_1758" 1.320613 1.051536 -0.5298 -0.32216 0.019611 0.00441 0.331752 0.15601 0.190535 0.28594 -0.58018 0.45994 0.781321 0.339996 0.85609 "UCEC"
"Sample_1759" 1.147731 -0.172203 0.53082 0.06651 -0.035755 -0.39391 -0.425291 0.12779 0.040139 -0.0352 -0.58825 -0.45227 -0.293481 0.131757 -0.09808 "UCEC"
"Sample_1760" 0.353634 -0.717472 -0.07234 0.05407 0.106709 0.04162 -0.147977 0.18686 0.413237 0.21933 0.08115 0.44614 0.79323 0.009132 0.34366 "UCEC"
"Sample_1761" 0.716784 0.184697 -0.50652 0.35926 0.334292 0.16106 0.174821 0.4384 0.267889 0.32662 -0.62884 0.52534 0.609523 0.383549 0.60732 "UCEC"
"Sample_1762" 0.424566 -0.284309 -0.04844 0.84579 0.246457 0.12733 -0.256467 -0.29912 0.781575 0.03378 -0.41232 0.40311 0.583286 -0.460332 0.31443 "UCEC"
"Sample_1763" 0.422636 -0.349651 -0.40112 -0.21195 0.021571 0.11596 0.380032 0.66242 0.636618 0.31488 0.81986 0.07083 0.334758 0.349192 0.50471 "UCEC"
"Sample_1764" 0.384845 0.204279 -0.16075 1.58307 0.217279 0.10649 -0.441862 -0.87188 0.178002 -0.42721 -0.01415 -0.23317 -0.056841 -1.538198 -0.067577 "UCEC"
"Sample_1765" 0.708438 -0.153674 1.57248 1.0194 0.120459 0.36407 0.64997 1.04362 1.257572 0.62831 0.69571 0.62438 0.659932 -0.29654 0.2102 "UCEC"
"Sample_1766" 1.393426 0.626951 0.11845 0.50778 0.053782 0.1792 0.245292 0.39072 0.328168 0.44666 -0.39012 0.58923 1.312782 0.262313 0.67592 "OV"
"Sample_1767" -0.09632 -0.982627 0.22058 0.18699 0.07813 0.12715 -0.203777 0.07243 -0.149149 0.36579 -0.29928 -0.45374 0.138776 0.569538 0.50401 "OV"
"Sample_1768" 1.097059 0.155492 -0.23365 -0.06284 0.054112 0.23265 0.471413 0.83932 0.927257 0.73198 0.45769 0.56212 1.14063 -0.03295 0.71872 "OV"
"Sample_1769" 0.557303 -0.360992 0.63137 0.96077 0.018466 -0.03322 -0.299083 -0.26415 0.682289 -0.18959 -0.84536 0.24815 0.69365 0.325955 -0.48609 "OV"
"Sample_1770" 0.911432 -0.151077 0.16346 0.21096 0.039349 0.01552 0.156224 0.08442 0.232114 0.44201 -0.34908 0.2088 0.361651 0.110423 0.86662 "OV"
"Sample_1771" 0.441874 0.703798 -0.03624 1.52223 0.045277 0.24843 0.607157 1.02534 0.483985 0.47742 -0.78312 -0.25256 0.353149 0.276786 0.28231 "OV"
"Sample_1772" 0.709577 -0.557204 -0.30066 0.31423 -0.007979 0.15063 0.32607 0.274 0.384174 0.32142 -0.44132 0.29715 1.34104 0.220683 0.41014 "OV"
"Sample_1773" 0.526805 -0.622066 1.36976 0.14156 0.019869 0.16576 -0.332871 -0.2105 -0.030532 0.15936 -1.09438 0.11248 -0.114774 -0.55329 0.023777 "OV"
"Sample_1774" 0.101638 -0.55795 0.16114 -0.05288 -0.005324 9e-04 0.113904 0.14694 -0.277154 0.22715 0.18496 0.68013 0.770015 0.150262 0.2429 "OV"
"Sample_1775" 1.585634 0.079739 -0.09231 -0.13852 0.024406 0.12021 0.216442 0.40748 0.614773 0.32715 -0.27134 0.87056 0.178183 0.090858 0.30222 "OV"
"Sample_1776" -0.060053 0.000786 0.8446 0.61284 0.074372 -0.38326 -0.42867 -0.52295 -0.181243 -1.01409 -0.7414 -1.25144 -1.363802 -1.076347 -0.87755 "CESC"
"Sample_1777" -0.296795 0.221059 0.40502 -0.16526 0.0171 -0.24024 -0.556975 -0.53332 0.62375 -0.36325 0.0941 0.21318 -0.30415 -0.538416 -0.66352 "CESC"
"Sample_1778" 0.022852 0.463328 0.63005 1.08635 -0.025577 -0.11796 -0.296107 -0.70015 0.073257 -0.76326 -0.54418 -0.64296 -0.999626 -0.562353 -0.34587 "UCEC"
"Sample_1779" -0.072094 -0.380329 1.49975 0.80166 0.0067 -0.22058 -0.410548 -0.20091 -0.31967 -0.10357 -0.2068 0.18048 0.028662 0.175526 0.39286 "UCEC"
"Sample_1780" 0.318476 0.004171 0.03076 -0.38684 -0.041485 -0.01028 -0.449946 -0.40479 0.322164 0.20364 -1.02126 0.53455 0.28266 -0.29724 0.58916 "UCEC"
"Sample_1781" 0.400484 0.074371 -0.34368 0.70152 -0.056434 0.00861 -0.040706 0.24224 -0.089329 -0.10234 0.14119 0.23663 0.221184 0.596088 0.16365 "UCEC"
"Sample_1782" -0.055441 -0.485685 -0.46928 0.12875 0.046997 -0.1036 -0.792856 -0.45473 -1.035005 -0.47638 -0.57349 -0.41605 -0.192942 -0.312968 0.080794 "UCEC"
"Sample_1783" 0.570231 0.363862 -0.31026 -0.15065 0.015092 -0.0901 0.120527 0.046 0.772234 -0.08737 -0.11303 0.26626 0.315117 -0.096448 0.20791 "CESC"
"Sample_1784" 0.365954 -0.300476 -0.51543 0.96828 0.050042 -0.08541 -0.849946 -0.57181 -1.487082 -0.59471 0.14144 0.11053 0.535898 0.234087 -0.24182 "CESC"
"Sample_1785" -0.410478 -0.036037 1.42028 0.30676 0.279442 0.28038 -0.550361 -2.26322 -0.156749 -0.76093 -0.70058 -0.92777 -1.402875 -1.898667 -1.1615 "CESC"
"Sample_1786" -0.217826 -0.025055 0.83108 -0.43293 -0.076292 -0.32043 -0.459285 -0.34131 0.42537 -0.27566 0.0848 0.29421 0.247171 -0.05845 0.084455 "CESC"
